round	cid	proposer	parent	n_block	mean	se	z	win_pp	dealer_mean	idle_mean	status	note
r0001	a5f862393d	template	c5fb070ad3	60	-0.9333333333333333	0.9525068520496357	-0.9798704663645788	-1.6666666666666663	-2.8	0.0	screen_ok	EV 番型抵消(对齐线上)
r0001	88964bdcca	template	c5fb070ad3	60	-1.0333333333333334	1.19626694927845	-0.863798280105128	-1.6666666666666663	-2.5	-0.3	screen_reject	B2 放宽爆头路线
r0001	c5fb070ad3	placebo	c5fb070ad3	60	0.0	0.0	-inf	0.0	0.0	0.0	screen_ok	PLACEBO(必须被拒)
r0001	a5f862393d	template	c5fb070ad3	300	-0.14	0.22082545052294567	-0.6339848947141752	-0.6666666666666682	-0.36046511627906974	-0.0514018691588785	confirm_reject	EV 番型抵消(对齐线上)
r0001	c5fb070ad3	placebo	c5fb070ad3	300	0.0	0.0	-inf	0.0	0.0	0.0	confirm_reject	PLACEBO(必须被拒)
