round	cid	proposer	parent	n_block	mean	se	z	win_pp	dealer_mean	idle_mean	status	note
rT	c4e5ebc398	random	2cca608d0f	40	0.125	0.8055795015597984	0.15516780126352459	0.0	1.3333333333333333	-0.39285714285714285	screen_ok	随机扰动
rT	cf26722fee	random	2cca608d0f	40	-0.475	1.2875077794138887	-0.36892980966393374	-2.500000000000002	-0.6666666666666666	-0.39285714285714285	screen_ok	随机扰动
rT	2cca608d0f	placebo	2cca608d0f	40	0.0	0.0	-inf	0.0	0.0	0.0	screen_ok	PLACEBO(必须被拒)
rT	c4e5ebc398	random	2cca608d0f	160	0.84375	0.5979884305978928	1.4109804752516448	1.874999999999999	1.4893617021276595	0.5752212389380531	confirm_reject	随机扰动
rT	cf26722fee	random	2cca608d0f	160	1.08125	0.8300077609605331	1.3026986624181862	3.1249999999999973	0.3617021276595745	1.3805309734513274	confirm_reject	随机扰动
rT	2cca608d0f	placebo	2cca608d0f	160	0.0	0.0	-inf	0.0	0.0	0.0	confirm_reject	PLACEBO(必须被拒)
